Số thự tự,Tên chuyên đề,Lớp,Phân loại
1,Đại số tổ hợp,10,Thống kê - Xác suất
2,Xác suất cổ điển,10,Thống kê - Xác suất
3,Bài toán tối ưu hệ phương trình 2 ẩn,10,Đại số - Giải tích
4,Hàm số bậc 2 và dấu tam thức bậc 2,10,Đại số - Giải tích
5,Hàm số lượng giác,11,Đại số - Giải tích
6,Phương trình lượng giác,11,Đại số - Giải tích
7,"Hàm số mũ, logarit và lũy thừa",11,Đại số - Giải tích
8,"Phương trình, bất phương trình mũ, logarit",11,Đại số - Giải tích
9,Cấp số cộng - Cấp số nhân,11,Đại số - Giải tích
10,Giới hạn,11,Đại số - Giải tích
11,Hàm số liên tục,11,Đại số - Giải tích
12,Đạo hàm,11,Đại số - Giải tích
13,Phương trình tiếp tuyến,11,Đại số - Giải tích
14,Tính đơn điệu,12,Đại số - Giải tích
15,Cực trị,12,Đại số - Giải tích
16,Min-max,12,Đại số - Giải tích
17,Tiệm cận,12,Đại số - Giải tích
18,Nhận dạng đồ thị,12,Đại số - Giải tích
19,Tương giao ,12,Đại số - Giải tích
20,Nguyên hàm cơ bản,12,Đại số - Giải tích
21,Tích phân cơ bản,12,Đại số - Giải tích
22,Ứng dụng tích phân diện tích,12,Đại số - Giải tích
23,Ứng dụng tích phân thể tích ,12,Đại số - Giải tích
24,Ứng dụng khác của tích phân,12,Đại số - Giải tích
25,Thống kê,12,Thống kê - Xác suất
26,Xác suất điều kiện,12,Thống kê - Xác suất
27,HHCĐ - Góc giữa 2 đường thẳng,11,Hình học
28,HHCĐ - Góc giữa đường thẳng và mặt phẳng,11,Hình học
29,HHCĐ - Góc nhị diện,11,Hình học
30,HHCĐ - Khoảng cách từ điểm tới mặt phẳng,11,Hình học
31,HHCĐ - Khoảng cách giữa 2 đường thẳng chéo nhau,11,Hình học
32,HHCĐ - Thể tích,11,Hình học
33,Tọa độ Oxy,10,Hình học
34,Oxy - Phương trình đường thẳng à phương trình đường tròn,10,Hình học
35, Oxy - 3 đường conic,12,Hình học
36,Tọa độ Oxyz,12,Hình học
37,Oxyz - Phương trình mặt phẳng,12,Hình học
38,Oxyz - Phương trình đường thẳng,12,Hình học
39,Oxyz - Phương trình mặt cầu,12,Hình học
40,"Oxyz - Khoảng cách, góc và vị trí tương đối",12,Hình học
41,"Oxyz - Hình chiếu, điểm đối xứng và bài toán tìm điểm",12,Hình học
42,Tọa độ hóa hình không gian Oxyz,12,Hình học
43,Cực trị hình học Oxyz,12,Hình học
